Dataset,Model,Metric,Threshold,Proportion,Value
1,copula_gan,precision,0.1,0.3,0.0
1,copula_gan,precision,0.1,0.4,0.0
1,copula_gan,precision,0.1,0.5,0.0
1,copula_gan,precision,0.1,0.6,0.0
1,copula_gan,precision,0.1,0.7,0.0
1,copula_gan,precision,0.1,0.8,0.0
1,copula_gan,precision,0.1,0.9,0.0
1,copula_gan,precision,0.1,1.0,0.0
1,copula_gan,precision,0.2,0.2,0.0
1,copula_gan,precision,0.2,0.3,0.0
1,copula_gan,precision,0.2,0.4,0.0
1,copula_gan,precision,0.2,0.5,0.0
1,copula_gan,precision,0.2,0.6,0.0
1,copula_gan,precision,0.2,0.7,0.0
1,copula_gan,precision,0.2,0.8,0.0
1,copula_gan,precision,0.2,0.9,0.0
1,copula_gan,precision,0.2,1.0,0.0
1,copula_gan,precision,0.3,0.2,0.0
1,copula_gan,precision,0.3,0.3,1.0
1,copula_gan,precision,0.3,0.4,1.0
1,copula_gan,precision,0.3,0.5,1.0
1,copula_gan,precision,0.3,0.6,1.0
1,copula_gan,precision,0.3,0.7,1.0
1,copula_gan,precision,0.3,0.8,1.0
1,copula_gan,precision,0.3,0.9,1.0
1,copula_gan,precision,0.3,1.0,1.0
1,copula_gan,precision,0.4,0.2,1.0
1,copula_gan,precision,0.4,0.3,1.0
1,copula_gan,precision,0.4,0.4,1.0
1,copula_gan,precision,0.4,0.5,1.0
1,copula_gan,precision,0.4,0.6,1.0
1,copula_gan,precision,0.4,0.7,1.0
1,copula_gan,precision,0.4,0.8,1.0
1,copula_gan,precision,0.4,0.9,1.0
1,copula_gan,precision,0.4,1.0,1.0
1,copula_gan,accuracy,0.1,0.2,0.0
1,copula_gan,accuracy,0.1,0.3,0.0
1,copula_gan,accuracy,0.1,0.4,0.0
1,copula_gan,accuracy,0.1,0.5,0.0
1,copula_gan,accuracy,0.1,0.6,0.0
1,copula_gan,accuracy,0.1,0.7,0.0
1,copula_gan,accuracy,0.1,0.8,0.0
1,copula_gan,accuracy,0.1,0.9,0.0
1,copula_gan,accuracy,0.1,1.0,0.0
1,copula_gan,accuracy,0.2,0.2,0.0
1,copula_gan,accuracy,0.2,0.3,0.0
1,copula_gan,accuracy,0.2,0.4,0.0
1,copula_gan,accuracy,0.2,0.5,0.0
1,copula_gan,accuracy,0.2,0.6,0.0
1,copula_gan,accuracy,0.2,0.7,0.0
1,copula_gan,accuracy,0.2,0.8,0.0
1,copula_gan,accuracy,0.2,0.9,0.0
1,copula_gan,accuracy,0.2,1.0,0.0
1,copula_gan,accuracy,0.3,0.2,0.0
1,copula_gan,accuracy,0.3,0.3,0.03
1,copula_gan,accuracy,0.3,0.4,0.03
1,copula_gan,accuracy,0.3,0.5,0.02
1,copula_gan,accuracy,0.3,0.6,0.02
1,copula_gan,accuracy,0.3,0.7,0.02
1,copula_gan,accuracy,0.3,0.8,0.03
1,copula_gan,accuracy,0.3,0.9,0.03
1,copula_gan,accuracy,0.3,1.0,0.03
1,copula_gan,accuracy,0.4,0.2,0.19
1,copula_gan,accuracy,0.4,0.3,0.21
1,copula_gan,accuracy,0.4,0.4,0.21
1,copula_gan,accuracy,0.4,0.5,0.22
1,copula_gan,accuracy,0.4,0.6,0.22
1,copula_gan,accuracy,0.4,0.7,0.23
1,copula_gan,accuracy,0.4,0.8,0.22
1,copula_gan,accuracy,0.4,0.9,0.22
1,copula_gan,accuracy,0.4,1.0,0.21
1,ctgan,precision,0.1,0.2,0.0
1,ctgan,precision,0.1,0.3,0.0
1,ctgan,precision,0.1,0.4,0.0
1,ctgan,precision,0.1,0.5,0.0
1,ctgan,precision,0.1,0.6,0.0
1,ctgan,precision,0.1,0.7,0.0
1,ctgan,precision,0.1,0.8,0.0
1,ctgan,precision,0.1,0.9,0.0
1,ctgan,precision,0.1,1.0,0.0
1,ctgan,precision,0.2,0.2,0.0
1,ctgan,precision,0.2,0.3,0.0
1,ctgan,precision,0.2,0.4,0.0
1,ctgan,precision,0.2,0.5,0.0
1,ctgan,precision,0.2,0.6,0.0
1,ctgan,precision,0.2,0.7,0.0
1,ctgan,precision,0.2,0.8,0.0
1,ctgan,precision,0.2,0.9,0.0
1,ctgan,precision,0.2,1.0,0.0
1,ctgan,precision,0.3,0.2,1.0
1,ctgan,precision,0.3,0.3,1.0
1,ctgan,precision,0.3,0.4,1.0
1,ctgan,precision,0.3,0.5,1.0
1,ctgan,precision,0.3,0.6,1.0
1,ctgan,precision,0.3,0.7,1.0
1,ctgan,precision,0.3,0.8,1.0
1,ctgan,precision,0.3,0.9,1.0
1,ctgan,precision,0.3,1.0,1.0
1,ctgan,precision,0.4,0.2,1.0
1,ctgan,precision,0.4,0.3,1.0
1,ctgan,precision,0.4,0.4,1.0
1,ctgan,precision,0.4,0.5,1.0
1,ctgan,precision,0.4,0.6,1.0
1,ctgan,precision,0.4,0.7,1.0
1,ctgan,precision,0.4,0.8,1.0
1,ctgan,precision,0.4,0.9,1.0
1,ctgan,precision,0.4,1.0,1.0
1,ctgan,accuracy,0.1,0.2,0.0
1,ctgan,accuracy,0.1,0.3,0.0
1,ctgan,accuracy,0.1,0.4,0.0
1,ctgan,accuracy,0.1,0.5,0.0
1,ctgan,accuracy,0.1,0.6,0.0
1,ctgan,accuracy,0.1,0.7,0.0
1,ctgan,accuracy,0.1,0.8,0.0
1,ctgan,accuracy,0.1,0.9,0.0
1,ctgan,accuracy,0.1,1.0,0.0
1,ctgan,accuracy,0.2,0.2,0.0
1,ctgan,accuracy,0.2,0.3,0.0
1,ctgan,accuracy,0.2,0.4,0.0
1,ctgan,accuracy,0.2,0.5,0.0
1,ctgan,accuracy,0.2,0.6,0.0
1,ctgan,accuracy,0.2,0.7,0.0
1,ctgan,accuracy,0.2,0.8,0.0
1,ctgan,accuracy,0.2,0.9,0.0
1,ctgan,accuracy,0.2,1.0,0.0
1,ctgan,accuracy,0.3,0.2,0.07
1,ctgan,accuracy,0.3,0.3,0.06
1,ctgan,accuracy,0.3,0.4,0.04
1,ctgan,accuracy,0.3,0.5,0.04
1,ctgan,accuracy,0.3,0.6,0.04
1,ctgan,accuracy,0.3,0.7,0.04
1,ctgan,accuracy,0.3,0.8,0.04
1,ctgan,accuracy,0.3,0.9,0.04
1,ctgan,accuracy,0.3,1.0,0.04
1,ctgan,accuracy,0.4,0.2,0.17
1,ctgan,accuracy,0.4,0.3,0.2
1,ctgan,accuracy,0.4,0.4,0.2
1,ctgan,accuracy,0.4,0.5,0.21
1,ctgan,accuracy,0.4,0.6,0.2
1,ctgan,accuracy,0.4,0.7,0.2
1,ctgan,accuracy,0.4,0.8,0.23
1,ctgan,accuracy,0.4,0.9,0.23
1,ctgan,accuracy,0.4,1.0,0.22
2,synthpop,precision,0.1,0.2,1.0
2,synthpop,precision,0.1,0.3,1.0
2,synthpop,precision,0.1,0.4,1.0
2,synthpop,precision,0.1,0.5,1.0
2,synthpop,precision,0.1,0.6,1.0
2,synthpop,precision,0.1,0.7,1.0
2,synthpop,precision,0.1,0.8,1.0
2,synthpop,precision,0.1,0.9,1.0
2,synthpop,precision,0.1,1.0,1.0
2,synthpop,precision,0.2,0.2,1.0
2,synthpop,precision,0.2,0.3,1.0
2,synthpop,precision,0.2,0.4,1.0
2,synthpop,precision,0.2,0.5,1.0
2,synthpop,precision,0.2,0.6,1.0
2,synthpop,precision,0.2,0.7,1.0
2,synthpop,precision,0.2,0.8,1.0
2,synthpop,precision,0.2,0.9,1.0
2,synthpop,precision,0.2,1.0,1.0
2,synthpop,precision,0.3,0.2,1.0
2,synthpop,precision,0.3,0.3,1.0
2,synthpop,precision,0.3,0.4,1.0
2,synthpop,precision,0.3,0.5,1.0
2,synthpop,precision,0.3,0.6,1.0
2,synthpop,precision,0.3,0.7,1.0
2,synthpop,precision,0.3,0.8,1.0
2,synthpop,precision,0.3,0.9,1.0
2,synthpop,precision,0.3,1.0,1.0
2,synthpop,precision,0.4,0.2,1.0
2,synthpop,precision,0.4,0.3,1.0
2,synthpop,precision,0.4,0.4,1.0
2,synthpop,precision,0.4,0.5,1.0
2,synthpop,precision,0.4,0.6,1.0
2,synthpop,precision,0.4,0.7,1.0
2,synthpop,precision,0.4,0.8,1.0
2,synthpop,precision,0.4,0.9,1.0
2,synthpop,precision,0.4,1.0,1.0
2,synthpop,accuracy,0.1,0.2,0.02
2,synthpop,accuracy,0.1,0.3,0.02
2,synthpop,accuracy,0.1,0.4,0.02
2,synthpop,accuracy,0.1,0.5,0.02
2,synthpop,accuracy,0.1,0.6,0.01
2,synthpop,accuracy,0.1,0.7,0.02
2,synthpop,accuracy,0.1,0.8,0.02
2,synthpop,accuracy,0.1,0.9,0.01
2,synthpop,accuracy,0.1,1.0,0.02
2,synthpop,accuracy,0.2,0.2,0.18
2,synthpop,accuracy,0.2,0.3,0.19
2,synthpop,accuracy,0.2,0.4,0.17
2,synthpop,accuracy,0.2,0.5,0.18
2,synthpop,accuracy,0.2,0.6,0.18
2,synthpop,accuracy,0.2,0.7,0.17
2,synthpop,accuracy,0.2,0.8,0.16
2,synthpop,accuracy,0.2,0.9,0.15
2,synthpop,accuracy,0.2,1.0,0.15
2,synthpop,accuracy,0.3,0.2,0.61
2,synthpop,accuracy,0.3,0.3,0.61
2,synthpop,accuracy,0.3,0.4,0.62
2,synthpop,accuracy,0.3,0.5,0.65
2,synthpop,accuracy,0.3,0.6,0.66
2,synthpop,accuracy,0.3,0.7,0.66
2,synthpop,accuracy,0.3,0.8,0.65
2,synthpop,accuracy,0.3,0.9,0.65
2,synthpop,accuracy,0.3,1.0,0.65
2,synthpop,accuracy,0.4,0.2,1.0
2,synthpop,accuracy,0.4,0.3,1.0
2,synthpop,accuracy,0.4,0.4,0.99
2,synthpop,accuracy,0.4,0.5,0.99
2,synthpop,accuracy,0.4,0.6,0.99
2,synthpop,accuracy,0.4,0.7,0.99
2,synthpop,accuracy,0.4,0.8,0.99
2,synthpop,accuracy,0.4,0.9,0.99
2,synthpop,accuracy,0.4,1.0,0.99
2,ds,precision,0.1,0.2,0.0
2,ds,precision,0.1,0.3,0.0
2,ds,precision,0.1,0.4,0.0
2,ds,precision,0.1,0.5,0.0
2,ds,precision,0.1,0.6,0.0
2,ds,precision,0.1,0.7,0.0
2,ds,precision,0.1,0.8,0.0
2,ds,precision,0.1,0.9,0.0
2,ds,precision,0.1,1.0,0.0
2,ds,precision,0.2,0.2,0.0
2,ds,precision,0.2,0.3,0.0
2,ds,precision,0.2,0.4,0.0
2,ds,precision,0.2,0.5,0.0
2,ds,precision,0.2,0.6,0.0
2,ds,precision,0.2,0.7,0.0
2,ds,precision,0.2,0.8,0.0
2,ds,precision,0.2,0.9,1.0
2,ds,precision,0.2,1.0,1.0
2,ds,precision,0.3,0.2,1.0
2,ds,precision,0.3,0.3,1.0
2,ds,precision,0.3,0.4,1.0
2,ds,precision,0.3,0.5,1.0
2,ds,precision,0.3,0.6,1.0
2,ds,precision,0.3,0.7,1.0
2,ds,precision,0.3,0.8,1.0
2,ds,precision,0.3,0.9,1.0
2,ds,precision,0.3,1.0,1.0
2,ds,precision,0.4,0.2,1.0
2,ds,precision,0.4,0.3,1.0
2,ds,precision,0.4,0.4,1.0
2,ds,precision,0.4,0.5,1.0
2,ds,precision,0.4,0.6,1.0
2,ds,precision,0.4,0.7,1.0
2,ds,precision,0.4,0.8,1.0
2,ds,precision,0.4,0.9,1.0
2,ds,precision,0.4,1.0,1.0
2,ds,accuracy,0.1,0.2,0.0
2,ds,accuracy,0.1,0.3,0.0
2,ds,accuracy,0.1,0.4,0.0
2,ds,accuracy,0.1,0.5,0.0
2,ds,accuracy,0.1,0.6,0.0
2,ds,accuracy,0.1,0.7,0.0
2,ds,accuracy,0.1,0.8,0.0
2,ds,accuracy,0.1,0.9,0.0
2,ds,accuracy,0.1,1.0,0.0
2,ds,accuracy,0.2,0.2,0.0
2,ds,accuracy,0.2,0.3,0.0
2,ds,accuracy,0.2,0.4,0.0
2,ds,accuracy,0.2,0.5,0.0
2,ds,accuracy,0.2,0.6,0.0
2,ds,accuracy,0.2,0.7,0.0
2,ds,accuracy,0.2,0.8,0.0
2,ds,accuracy,0.2,0.9,0.0
2,ds,accuracy,0.2,1.0,0.0
2,ds,accuracy,0.3,0.2,0.08
2,ds,accuracy,0.3,0.3,0.08
2,ds,accuracy,0.3,0.4,0.08
2,ds,accuracy,0.3,0.5,0.08
2,ds,accuracy,0.3,0.6,0.08
2,ds,accuracy,0.3,0.7,0.08
2,ds,accuracy,0.3,0.8,0.08
2,ds,accuracy,0.3,0.9,0.1
2,ds,accuracy,0.3,1.0,0.1
2,ds,accuracy,0.4,0.2,0.98
2,ds,accuracy,0.4,0.3,0.96
2,ds,accuracy,0.4,0.4,0.96
2,ds,accuracy,0.4,0.5,0.96
2,ds,accuracy,0.4,0.6,0.96
2,ds,accuracy,0.4,0.7,0.95
2,ds,accuracy,0.4,0.8,0.96
2,ds,accuracy,0.4,0.9,0.96
2,ds,accuracy,0.4,1.0,0.96
2,tvae,precision,0.1,0.2,0.0
2,tvae,precision,0.1,0.3,0.0
2,tvae,precision,0.1,0.4,0.0
2,tvae,precision,0.1,0.5,0.0
2,tvae,precision,0.1,0.6,0.0
2,tvae,precision,0.1,0.7,0.0
2,tvae,precision,0.1,0.8,0.0
2,tvae,precision,0.1,0.9,0.0
2,tvae,precision,0.1,1.0,0.0
2,tvae,precision,0.2,0.2,0.0
2,tvae,precision,0.2,0.3,0.0
2,tvae,precision,0.2,0.4,0.0
2,tvae,precision,0.2,0.5,1.0
2,tvae,precision,0.2,0.6,1.0
2,tvae,precision,0.2,0.7,1.0
2,tvae,precision,0.2,0.8,1.0
2,tvae,precision,0.2,0.9,1.0
2,tvae,precision,0.2,1.0,1.0
2,tvae,precision,0.3,0.2,1.0
2,tvae,precision,0.3,0.3,1.0
2,tvae,precision,0.3,0.4,1.0
2,tvae,precision,0.3,0.5,1.0
2,tvae,precision,0.3,0.6,1.0
2,tvae,precision,0.3,0.7,1.0
2,tvae,precision,0.3,0.8,1.0
2,tvae,precision,0.3,0.9,1.0
2,tvae,precision,0.3,1.0,1.0
2,tvae,precision,0.4,0.2,1.0
2,tvae,precision,0.4,0.3,1.0
2,tvae,precision,0.4,0.4,1.0
2,tvae,precision,0.4,0.5,1.0
2,tvae,precision,0.4,0.6,1.0
2,tvae,precision,0.4,0.7,1.0
2,tvae,precision,0.4,0.8,1.0
